Team,Played,Wins,Draws,Loses,GF,GA,GD,Points
Manchester City,38,30,5,3,86,19,67,95
Liverpool,38,29,7,2,93,21,72,94
Chelsea,38,27,8,3,76,19,57,89
Arsenal,38,21,8,9,55,37,18,71
Tottenham,38,21,6,11,58,42,16,69
Manchester United,38,17,12,9,57,48,9,63
West Ham,38,18,8,12,57,44,13,62
Wolverhampton Wanderers,38,17,6,15,34,29,5,57
Leicester,38,14,10,14,56,59,-3,52
Aston Villa,38,14,6,18,48,48,0,48
Crystal Palace,38,9,20,9,50,45,5,47
Brighton,38,9,14,15,29,43,-14,41
Southampton,38,8,16,14,42,57,-15,40
Brentford,38,8,13,17,40,56,-16,37
Newcastle United,38,8,12,18,35,61,-26,36
Burnley,38,6,15,17,27,46,-19,33
Leeds,38,7,12,19,38,81,-43,33
Everton,38,7,9,22,35,64,-29,30
Watford,38,6,8,24,34,72,-38,26
Norwich,38,4,5,29,18,77,-59,17
