homeTeam,homeGoals,awayTeam,awayGoals,Result
Brentford,2,Arsenal,0,H
Manchester United,5,Leeds,1,H
Burnley,1,Brighton,2,A
Chelsea,3,Crystal Palace,0,H
Everton,3,Southampton,1,H
Leicester,1,Wolverhampton Wanderers,0,H
Watford,3,Aston Villa,2,H
Norwich,0,Liverpool,3,A
Newcastle United,2,West Ham,4,A
Tottenham,1,Manchester City,0,H
Liverpool,2,Burnley,0,H
Manchester City,5,Norwich,0,H
Aston Villa,2,Newcastle United,0,H
Crystal Palace,0,Brentford,0,D
Leeds,2,Everton,2,D
Brighton,2,Watford,0,H
Southampton,1,Manchester United,1,D
Wolverhampton Wanderers,0,Tottenham,1,A
Arsenal,0,Chelsea,2,A
West Ham,4,Leicester,1,H
Manchester City,5,Arsenal,0,H
Newcastle United,2,Southampton,2,D
Norwich,1,Leicester,2,A
Aston Villa,1,Brentford,1,D
Brighton,0,Everton,2,A
West Ham,2,Crystal Palace,2,D
Liverpool,1,Chelsea,1,D
Burnley,1,Leeds,1,D
Tottenham,1,Watford,0,H
Wolverhampton Wanderers,0,Manchester United,1,A
Crystal Palace,3,Tottenham,0,H
Arsenal,1,Norwich,0,H
Brentford,0,Brighton,1,A
Leicester,0,Manchester City,1,A
Manchester United,4,Newcastle United,1,H
Southampton,0,West Ham,0,D
Watford,0,Wolverhampton Wanderers,2,A
Chelsea,3,Aston Villa,0,H
Leeds,0,Liverpool,3,A
Everton,3,Burnley,1,H
Newcastle United,1,Leeds,1,D
Wolverhampton Wanderers,0,Brentford,2,A
Norwich,1,Watford,3,A
Burnley,0,Arsenal,1,A
Liverpool,3,Crystal Palace,0,H
Manchester City,0,Southampton,0,D
Aston Villa,3,Everton,0,H
Brighton,2,Leicester,1,H
West Ham,1,Manchester United,2,A
Tottenham,0,Chelsea,3,A
Chelsea,0,Manchester City,1,A
Manchester United,0,Aston Villa,1,A
Watford,1,Newcastle United,1,D
Everton,2,Norwich,0,H
Leeds,1,West Ham,2,A
Leicester,2,Burnley,2,D
Brentford,3,Liverpool,3,D
Southampton,0,Wolverhampton Wanderers,1,A
Arsenal,3,Tottenham,1,H
Crystal Palace,1,Brighton,1,D
Manchester United,1,Everton,1,D
Burnley,0,Norwich,0,D
Chelsea,3,Southampton,1,H
Leeds,1,Watford,0,H
Wolverhampton Wanderers,2,Newcastle United,1,H
Brighton,0,Arsenal,0,D
Crystal Palace,2,Leicester,2,D
Tottenham,2,Aston Villa,1,H
West Ham,1,Brentford,2,A
Liverpool,2,Manchester City,2,D
Watford,0,Liverpool,5,A
Aston Villa,2,Wolverhampton Wanderers,3,A
Leicester,4,Manchester United,2,H
Manchester City,2,Burnley,0,H
Norwich,0,Brighton,0,D
Southampton,1,Leeds,0,H
Brentford,0,Chelsea,1,A
Everton,0,West Ham,1,A
Newcastle United,2,Tottenham,3,A
Arsenal,2,Crystal Palace,2,D
Arsenal,3,Aston Villa,1,H
Chelsea,7,Norwich,0,H
